Timestamp,Opening Price,High Price,Low Price,Closing Price,No of Shares
1674280800,394.80,396.66,394.36,396.28,6488665138
1674302400,396.19,396.67,394.30,396.07,6493114576
1674324000,396.12,397.05,394.64,395.10,6497318446
1674345600,395.06,395.72,393.57,394.47,6498766133
1674367200,394.32,396.40,394.27,395.76,6496022904
1674388800,395.76,397.92,395.22,397.08,6496062560
1674410400,397.04,397.82,394.26,395.78,6496075505
1674432000,395.74,396.68,393.71,394.07,6499717389
1674453600,393.83,394.77,392.66,394.32,6498948872
1674475200,394.33,395.55,393.95,395.40,6499749866
1674496800,395.32,396.96,392.57,396.13,6501710852
1674518400,396.00,398.57,395.55,396.07,6502235502
1674540000,396.03,399.87,395.96,398.60,6502092716
1674561600,398.64,399.20,396.36,396.74,6502694791
1674583200,396.70,398.16,392.42,392.55,6501830259
1674604800,392.55,394.21,392.35,393.26,12890769721
1674626400,393.21,396.68,392.67,396.30,7080909503
1674648000,396.39,396.43,394.65,395.30,6524460231
1674669600,395.33,397.70,395.12,396.69,6517660178
1674691200,397.11,398.39,396.77,398.13,6514346441
1674712800,398.17,399.88,397.70,398.62,6505698335
1674734400,398.58,398.58,396.39,397.23,6508389126
1674756000,397.19,399.75,397.10,397.76,6507047255
1674777600,397.76,399.19,394.42,394.83,6555882795
1674799200,394.83,395.62,392.44,392.44,6557980687
1674820800,392.24,393.48,390.73,392.74,6569658430
1674842400,392.74,392.98,390.32,391.89,6564959169
1674864000,391.84,392.26,388.65,388.85,6553950166
1674885600,388.76,390.75,387.89,389.25,6569557524
1674907200,389.29,390.76,388.46,389.45,6552018071
1674928800,389.45,391.25,388.94,388.94,6550725797
1674950400,388.89,390.30,388.52,389.11,6550496487
1674972000,388.91,389.76,387.34,387.85,6550655481
1674993600,387.65,390.66,387.19,390.49,6549780582
1675015200,390.45,392.98,389.18,392.23,6553446976
1675036800,392.32,392.58,391.04,391.44,6551647146
1675058400,391.24,392.42,387.84,389.44,6576613150
1675080000,389.48,390.61,387.83,388.90,6624244309
1675101600,388.90,393.55,388.61,392.84,6575485357
1675123200,392.68,394.79,391.14,393.83,6574071343
1675144800,393.95,394.53,391.22,392.05,6548534191
1675166400,392.13,392.79,389.17,389.76,6547633441
1675188000,389.76,390.90,387.80,389.38,6578679911
1675209600,389.26,389.56,387.14,387.92,6577935496
1675231200,387.93,388.72,383.40,383.44,6807876369
1675252800,383.36,384.69,381.28,383.15,7526375824
1675274400,382.84,383.45,380.95,383.22,8189014069
1675296000,383.18,383.88,382.21,383.65,8139527988
1675317600,383.14,387.30,383.09,386.57,7099337752
1675339200,386.66,387.62,384.94,386.18,6843013889
1675360800,386.42,388.60,385.67,387.98,6626151220
1675382400,387.93,389.23,387.27,387.89,6699484680
1675404000,387.93,390.88,387.67,390.57,6637769251
1675425600,390.39,391.47,388.84,389.65,6564387512
1675447200,389.43,391.01,385.21,387.46,6765612977
1675468800,387.30,388.49,385.99,387.27,6792800210
1675490400,387.35,388.01,385.71,387.97,6784431323
1675512000,387.97,388.23,383.76,385.90,6788307968
1675533600,385.94,387.71,385.36,387.39,6788412671
1675555200,387.39,389.85,387.27,388.13,6786857344
1675576800,388.17,392.46,388.05,392.13,6784145489
1675598400,392.20,396.30,391.73,395.89,6775436278
1675620000,395.89,397.18,394.35,396.53,6553479288
1675641600,396.41,397.11,395.33,396.75,6500497250
1675663200,396.75,397.53,396.06,396.97,6505814029
1675684800,396.92,398.41,396.40,396.55,6490450106
1675706400,396.63,396.71,393.96,395.82,6493031415
1675728000,395.69,397.08,394.91,396.82,6493067517
1675749600,396.82,399.52,396.05,398.39,6494061090
1675771200,398.35,401.11,398.27,400.76,6494834450
1675792800,400.74,402.95,400.35,401.97,6491713917
1675814400,401.97,403.95,401.62,401.83,6490354163
1675836000,401.83,402.75,399.72,400.69,6489390687
1675857600,400.32,403.45,399.79,401.20,6489605094
1675879200,401.20,403.34,398.97,399.62,6488665485
1675900800,399.86,400.24,397.13,397.33,6489267880
1675922400,397.29,398.02,396.03,397.15,6497808010
1675944000,397.42,398.16,395.56,397.08,6496895662
1675965600,397.25,397.49,394.01,394.89,6498839156
1675987200,394.84,396.21,390.74,390.74,6500517366
1676008800,390.66,393.28,389.36,393.28,6500295290
1676030400,393.54,395.77,391.87,391.96,6500324286
1676052000,391.96,393.22,390.86,391.22,6497510021
1676073600,391.22,392.45,389.88,390.34,6497383611
1676095200,390.34,392.01,389.69,391.36,6498245409
1676116800,391.48,391.90,388.75,391.12,6494158915
1676138400,391.17,391.82,384.32,386.26,6531453744
1676160000,386.22,387.99,383.75,385.56,6592034206
1676181600,385.55,387.08,385.27,386.28,6590383292
1676203200,386.28,387.99,385.49,387.05,6688083637
1676224800,387.12,387.25,383.96,384.39,6810689419
1676246400,384.53,385.18,382.48,382.82,6816468551
1676268000,382.94,386.05,382.87,385.97,6972395019
1676289600,386.02,387.01,384.47,385.69,6957873289
1676311200,385.46,386.99,384.69,386.31,7017714319
1676332800,386.35,388.74,385.92,387.58,7001297345
1676354400,387.68,388.07,386.10,386.33,7008283934
1676376000,386.10,387.41,385.45,386.84,7006745859
1676397600,386.92,387.81,385.50,385.94,7005648798
1676419200,385.98,387.00,385.50,385.79,7005534208
1676440800,385.83,386.39,384.09,384.98,7002872276
1676462400,385.02,391.19,384.83,389.35,6750165856
1676484000,389.26,390.33,386.79,389.90,6727695077
1676505600,389.92,390.01,388.52,389.14,6710564673
1676527200,389.31,391.17,389.20,391.10,6758591203
1676548800,391.11,391.29,390.37,390.58,6763503483
1676570400,390.60,391.19,389.66,390.64,6736427157
1676592000,390.60,390.89,389.93,390.00,6735907690
1676613600,389.88,390.59,389.29,390.04,6695492849
1676635200,390.00,390.04,388.65,389.18,6670952353
1676656800,389.25,392.26,389.06,392.13,6699776434
1676678400,392.10,393.71,392.08,393.71,6711942690
1676700000,393.69,393.94,392.27,392.40,6710686260
1676721600,392.47,393.99,392.09,393.05,6615864620
1676743200,392.91,393.45,392.11,393.03,6611383377
1676764800,393.09,395.17,392.53,394.92,6568675772
1676786400,394.80,394.86,392.90,393.65,6547264238
1676808000,393.73,395.35,393.50,393.97,6543065362
1676829600,393.78,395.65,393.71,395.65,6520377624
1676851200,395.61,396.75,395.50,396.07,6523933402
1676872800,395.98,396.44,395.46,396.17,6530267771
1676894400,396.13,396.69,395.52,396.15,6526188022
1676916000,396.26,398.00,395.98,397.75,6524664351
1676937600,397.69,397.82,396.20,396.89,6516977749
1676959200,396.91,398.86,396.80,397.25,6511569659
1676980800,397.13,397.49,395.67,395.74,6509109767
1677002400,395.69,398.11,395.62,398.09,6507505693
1677024000,398.12,400.12,397.45,399.29,6502739946
1677045600,399.20,400.48,398.60,398.86,6504367399
1677067200,398.77,398.93,397.49,397.60,6502380295
1677088800,397.62,399.21,397.49,397.58,6503697459
1677110400,397.56,399.40,397.06,399.40,6499485549
1677132000,399.29,400.22,398.60,399.04,6498611034
1677153600,399.12,399.18,397.98,398.22,6498883739
1677175200,398.10,398.72,396.96,397.46,6501829987
1677196800,397.59,398.98,396.93,397.72,6503089166
1677218400,397.68,397.83,396.10,396.47,6504848974
1677240000,396.53,397.83,396.04,396.86,6506621496
1677261600,396.86,397.32,396.18,396.47,6505849776
1677283200,396.43,397.44,395.86,397.38,6505859512
1677304800,397.31,398.29,396.28,398.01,6507036273
1677326400,397.99,398.20,396.60,397.67,6504455286
1677348000,397.67,398.25,396.75,396.78,6512814082
1677369600,396.78,398.40,396.09,397.98,6511352520
1677391200,397.96,398.28,396.84,397.25,6518642872
1677412800,397.29,397.33,394.72,395.65,6505270102
1677434400,395.57,396.66,394.56,394.75,6504994192
1677456000,394.66,396.02,394.51,395.22,6506607551
1677477600,395.29,396.25,394.38,395.01,6504169688
1677499200,395.16,396.13,394.03,395.42,6517385106
1677520800,395.57,399.50,395.44,398.76,6515087438
1677542400,398.79,399.71,397.95,399.62,6515671467
1677564000,399.64,400.42,398.63,400.15,6513713295
1677585600,400.11,400.59,397.39,398.59,6512289369
1677607200,398.63,399.06,396.76,397.46,6514011317
1677628800,397.26,398.89,396.78,398.48,6514804942
1677650400,398.37,400.29,398.12,400.03,6513753037
1677672000,400.01,400.61,399.40,399.87,6510593064
1677693600,399.85,401.09,399.60,400.72,6511285464
1677715200,401.00,402.07,400.90,401.56,6514264690
1677736800,401.64,402.50,400.83,402.07,6513911286
1677758400,402.06,403.34,401.69,402.49,6513903551
1677780000,402.43,403.86,401.92,402.68,6513514647
1677801600,402.52,402.93,400.59,401.88,6513478458
1677823200,401.93,403.44,401.11,402.11,6514884484
1677844800,402.09,402.44,400.25,400.50,6514334838
1677866400,400.49,400.52,397.44,397.44,6518242868
1677888000,397.42,399.15,397.41,397.62,6742769579
1677909600,397.72,398.32,396.45,397.47,6518663180
1677931200,397.58,400.36,397.40,400.26,6516921797
1677952800,400.22,400.87,399.09,399.69,6514148080
1677974400,399.65,400.00,398.73,399.07,6518741460
1677996000,399.01,403.17,399.01,401.77,6516477335
1678017600,401.80,402.40,400.02,400.67,6514950207
1678039200,400.73,401.21,399.72,400.15,6514029016
1678060800,400.15,400.90,398.07,400.43,6514031676
1678082400,400.36,401.62,399.75,401.62,6516538666
1678104000,401.70,402.71,401.39,402.19,6515885567
1678125600,402.13,403.14,401.09,401.36,6517131407
1678147200,401.66,402.13,400.14,401.23,6515735269
1678168800,401.22,401.65,400.66,401.16,6512726641
1678190400,401.15,401.83,400.70,400.88,6512974216
1678212000,400.86,401.71,400.58,401.30,6514536132
1678233600,401.04,401.04,399.16,400.74,6513881674
1678255200,400.68,400.75,397.12,397.47,6513107138
1678276800,397.51,398.95,397.24,397.35,6523158341
1678298400,397.40,398.95,396.95,398.01,6555873210
1678320000,397.86,398.92,397.78,398.21,6552898170
1678341600,398.25,399.80,396.98,398.59,6553985405
1678363200,398.53,402.51,398.42,402.35,6554309831
1678384800,402.31,402.36,400.18,400.35,6555468928
1678406400,400.29,401.04,398.45,399.84,6549132017
1678428000,399.88,401.68,399.56,400.60,6575315108
1678449600,400.67,400.95,399.61,400.72,6575322963
1678471200,400.71,402.06,399.65,401.76,6577880015
1678492800,401.86,402.39,400.55,401.71,6579098082
1678514400,401.55,401.69,399.84,401.40,6579296661
1678536000,401.42,401.75,399.43,399.78,6580938380
1678557600,399.78,399.97,398.35,399.73,6578435225
1678579200,399.76,399.93,398.56,399.75,6584496991
1678600800,399.75,403.47,399.57,403.24,6582298131
1678622400,403.24,403.74,401.68,402.77,6582607532
1678644000,402.99,404.14,402.82,403.55,6584291255
1678665600,403.52,404.43,403.00,404.43,6555178330
1678687200,404.49,404.68,402.48,404.39,6553639331
1678708800,404.55,404.65,402.72,403.20,6560183002
1678730400,403.23,403.27,401.63,402.63,6537231861
1678752000,402.57,402.57,400.62,401.29,6540513062
1678773600,401.25,401.98,400.97,401.21,6541033615
1678795200,401.20,401.57,399.77,400.76,6535775521
1678816800,400.86,401.68,399.28,401.13,6546978911
1678838400,402.31,405.28,402.15,405.15,6533419441
1678860000,405.15,407.03,404.76,406.84,6531274655
1678881600,406.84,408.32,405.99,406.66,6531891475
1678903200,406.63,408.71,405.97,408.43,6547093652
1678924800,408.43,408.61,407.09,407.64,6550652383
1678946400,407.67,409.81,407.64,409.74,6548174946
1678968000,409.65,410.16,408.70,410.16,6542575789
1678989600,410.10,410.50,409.02,410.14,6543081308
1679011200,410.21,413.13,409.95,412.35,6543655160
1679032800,412.35,413.45,411.20,413.21,6551384810
